,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
3670,2006-10-27,3.4,3.44,3.26,3.28,0.16,5.13,"25,825,396","872,531",5.77,52.91
3669,2006-10-30,3.27,3.32,3.25,3.29,0.01,0.3,"3,519,210","115,313",2.13,7.21
3668,2006-10-31,3.28,3.33,3.28,3.3,0.01,0.3,"2,301,262","76,105",1.52,4.71
3667,2006-11-01,3.3,3.31,3.28,3.3,0.0,0.0,"1,328,924","43,726",0.91,2.72
3666,2006-11-02,3.3,3.3,3.25,3.28,-0.02,-0.61,"1,751,554","57,340",1.52,3.59
3665,2006-11-03,3.27,3.37,3.27,3.36,0.08,2.44,"4,000,161","133,171",3.05,8.2
3664,2006-11-06,3.33,3.38,3.32,3.38,0.02,0.6,"2,099,938","70,625",1.79,4.3
3663,2006-11-07,3.38,3.43,3.37,3.4,0.02,0.59,"2,967,925","101,094",1.78,6.08
3662,2006-11-08,3.4,3.4,3.35,3.36,-0.04,-1.18,"1,518,227","51,225",1.47,3.11
3661,2006-11-09,3.36,3.4,3.35,3.4,0.04,1.19,"1,779,482","60,189",1.49,3.65
3660,2006-11-10,3.4,3.52,3.4,3.46,0.06,1.76,"7,596,902","264,042",3.53,15.56
3659,2006-11-13,3.45,3.59,3.44,3.52,0.06,1.73,"4,633,752","163,694",4.34,9.49
3658,2006-11-14,3.58,3.62,3.53,3.6,0.08,2.27,"4,319,118","154,865",2.56,8.85
3657,2006-11-15,3.61,3.65,3.6,3.65,0.05,1.39,"3,446,057","124,934",1.39,7.06
3656,2006-11-16,3.7,3.93,3.67,3.8,0.15,4.11,"6,877,126","260,446",7.12,14.09
3655,2006-11-17,3.79,3.85,3.74,3.8,0.0,0.0,"3,148,417","119,743",2.89,6.45
3654,2006-11-20,3.8,3.92,3.8,3.92,0.12,3.16,"3,180,494","123,370",3.16,6.52
3653,2006-11-21,3.91,3.96,3.86,3.93,0.01,0.26,"2,330,601","91,257",2.55,4.78
3652,2006-11-22,3.91,3.95,3.81,3.9,-0.03,-0.76,"2,834,571","109,790",3.56,5.81
3651,2006-11-23,3.92,4.01,3.92,3.97,0.07,1.79,"3,029,436","120,211",2.31,6.21
3650,2006-11-24,3.92,3.94,3.86,3.92,-0.05,-1.26,"1,892,273","73,737",2.02,3.88
3649,2006-11-27,3.89,3.9,3.76,3.81,-0.11,-2.81,"3,004,676","114,569",3.57,6.16
3648,2006-11-28,3.78,3.81,3.71,3.75,-0.06,-1.57,"2,424,363","90,846",2.62,4.97
3647,2006-11-29,3.67,3.8,3.65,3.79,0.04,1.07,"2,443,111","91,240",4.0,5.01
3646,2006-11-30,3.8,3.83,3.77,3.81,0.02,0.53,"2,318,291","87,897",1.58,4.75
3645,2006-12-01,3.83,3.83,3.74,3.76,-0.05,-1.31,"2,742,034","103,191",2.36,5.62
3644,2006-12-04,3.76,3.97,3.72,3.91,0.15,3.99,"4,106,939","158,706",6.65,8.41
3643,2006-12-05,3.91,3.98,3.86,3.88,-0.03,-0.77,"2,662,256","104,461",3.07,5.45
3642,2006-12-06,3.88,3.91,3.76,3.84,-0.04,-1.03,"2,634,847","100,824",3.87,5.4
3641,2006-12-07,3.84,3.95,3.81,3.85,0.01,0.26,"3,368,740","131,571",3.65,6.9
3640,2006-12-08,3.83,3.97,3.81,3.87,0.02,0.52,"3,868,688","151,131",4.16,7.93
3639,2006-12-11,3.86,4.09,3.85,4.08,0.21,5.43,"4,585,764","182,348",6.2,9.4
3638,2006-12-12,4.1,4.33,4.08,4.31,0.23,5.64,"5,430,921","229,487",6.13,11.13
3637,2006-12-13,4.33,4.39,4.21,4.29,-0.02,-0.46,"2,990,581","128,425",4.18,6.13
3636,2006-12-14,4.29,4.3,4.2,4.27,-0.02,-0.47,"1,848,426","78,551",2.33,3.79
3635,2006-12-15,4.29,4.34,4.26,4.32,0.05,1.17,"1,733,075","74,640",1.87,3.55
3634,2006-12-18,4.32,4.57,4.29,4.56,0.24,5.56,"2,806,653","124,425",6.48,5.75
3633,2006-12-19,4.58,4.82,4.57,4.73,0.17,3.73,"3,342,214","157,228",5.48,6.85
3632,2006-12-20,4.69,4.75,4.61,4.69,-0.04,-0.85,"2,071,827","97,028",2.96,4.24
3631,2006-12-21,4.69,4.78,4.63,4.65,-0.04,-0.85,"1,951,241","91,815",3.2,4.0
3630,2006-12-22,4.63,4.78,4.6,4.74,0.09,1.94,"1,936,034","90,986",3.87,3.97
3629,2006-12-25,4.8,5.21,4.8,5.21,0.47,9.92,"4,413,752","225,625",8.65,9.04
3628,2006-12-26,5.21,5.69,5.17,5.51,0.3,5.76,"5,796,031","312,802",9.98,11.88
3627,2006-12-27,5.47,5.7,5.27,5.68,0.17,3.09,"4,026,596","221,267",7.8,8.25
3626,2006-12-28,5.67,6.04,5.6,5.85,0.17,2.99,"5,162,104","301,459",7.75,10.58
